,mean_abs_shap
embN_076,0.00028895041305463276
embN_054,0.0002856001195423226
embH_055,0.00028494346204776925
embN_187,0.00027980183688016113
embN_067,0.0002776910167879988
embN_194,0.0002768121249349658
embN_002,0.00027432958937998955
embN_130,0.000272613455728236
embH_195,0.00027224596953381354
embN_215,0.0002713621831692861
embN_183,0.0002699944766054386
embN_000,0.00026954644546340446
embN_210,0.00026791301846988355
embN_178,0.00026785776406506266
embN_202,0.0002676527006994009
embH_231,0.0002664659844023146
embN_055,0.00026492273019087566
embN_091,0.00026468227767386304
embN_153,0.00026394321330190976
embN_156,0.000263873309119911
embN_021,0.0002633908172055931
embN_139,0.00026287670817872887
embH_006,0.00026271051092773267
embN_083,0.0002624853984393427
embH_177,0.00026233858321240565
embH_233,0.0002620689438492924
embN_103,0.000261946613031598
embN_005,0.0002606425070858562
embN_062,0.000257454622861024
embH_101,0.000256082253113727
embN_184,0.0002551493697180268
embH_223,0.00025475309699630945
embN_068,0.0002537423926934761
embN_006,0.0002510601171242704
embN_096,0.00025070603044911963
embH_076,0.000250212896689316
embH_002,0.0002478518166597385
embH_201,0.0002472698334774
embN_110,0.0002463093169732415
embN_201,0.00024614987584351423
embN_170,0.00024145961988889813
embN_099,0.00024017813003182406
embN_043,0.0002399942957336722
embN_113,0.0002392562360487034
embH_252,0.0002388629962403941
embH_246,0.00023781955649552884
embN_211,0.0002338720509429528
embH_154,0.00023346699538566763
embH_114,0.00023147411730181492
embH_042,0.00022944770109052355
embN_242,0.0002291532162129537
embH_138,0.0002287256503497162
embN_059,0.00022809615453986954
embN_008,0.0002278595085832064
embH_250,0.00022571958636046784
embH_120,0.00022229982531206426
embN_046,0.00022132330611079044
embH_222,0.0002206198187363244
embH_184,0.0002195301866019395
embH_210,0.00021832214840125945
embN_085,0.00021763172832681675
embH_044,0.00021471215891124873
embN_155,0.00021408795197461512
embH_240,0.00021254235145431522
embH_169,0.00021233999949670182
embH_192,0.00021222240433923527
embN_208,0.00021215269349472647
embN_118,0.00021178964399423352
embH_060,0.00021052446712952798
embH_039,0.0002097575496576044
embN_066,0.00020864542512217635
embN_216,0.00020840080223642892
embH_200,0.00020813445466192636
embN_191,0.0002069827363506738
embN_082,0.00020393146160058121
embN_105,0.00020367146406874136
embH_127,0.00020299193201523007
embN_023,0.0002024342200065511
embH_141,0.00020141921535167442
embN_146,0.0002008938148980325
embH_130,0.00019926971470402856
embN_152,0.00019919334469486923
embH_174,0.000197371208477959
embN_135,0.00019685376560691636
embN_195,0.00019215204027170225
embN_094,0.0001920903181412013
embN_114,0.00019102699643289158
embH_232,0.0001905382345840821
embN_222,0.00019049665991597954
embH_171,0.00018805661802999966
embH_050,0.00018732280748213798
embH_217,0.00018538020062604983
embN_070,0.0001842728706084626
embN_252,0.0001838940206010007
embN_013,0.00018269168542307766
embH_145,0.00018184085256547268
embN_169,0.0001772446303826935
embN_137,0.00017716198200343894
embN_218,0.00017687294600102026
embH_216,0.0001747153304105969
embN_165,0.00017127137511940585
